case_label,state_voltage,frames,mean_vapor_area_fraction,std_vapor_area_fraction,ci95_half_width,ci95_lower,ci95_upper,iid_student_t_ci95_half_width,lag1_autocorrelation,tau_int_frames,effective_sample_size,bootstrap_block_length_frames,uncertainty_method,workbook_vapor_area_fraction,mean_minus_workbook,max_predicted_instances
5gs_22C,45.0,100,0.12896888950892854,0.006359179394531324,0.002797051130022321,0.1263097551618303,0.13190385742187494,0.0012617974696469377,0.694564416245518,10.185015595311215,9.818345299936125,11,"circular moving-block bootstrap, 5000 resamples",0.13086,-0.0018911104910714627,188
10gs_22C,45.0,108,0.10882316468253964,0.008531354541962551,0.003707209188471401,0.10513505562272647,0.11254947399966928,0.0016273962049293078,0.6552509584956274,9.642700719207022,11.20018168612014,10,"circular moving-block bootstrap, 5000 resamples",0.109659,-0.0008358353174603705,158
15gs_20C,45.0,88,0.06556333071225645,0.008311244958737652,0.00634715290812703,0.0590549498719054,0.07174925568815946,0.001760981079919253,0.8802941068131069,25.001388314525553,3.519804536169413,26,"circular moving-block bootstrap, 5000 resamples",0.065359,0.00020433071225645083,148
25gs_20C,45.0,95,0.01377702067669169,0.0021490703919477545,0.0010338492716165364,0.012743186090225527,0.0148108846334586,0.00043778732098494953,0.7680374874276427,9.838814122351542,9.65563520345218,10,"circular moving-block bootstrap, 5000 resamples",0.014231,-0.00045397932330831087,69
