coverage_regime,images,mean_union_mask_iou,median_union_mask_iou,mean_union_mask_dice,mean_absolute_area_fraction_error,mean_signed_area_fraction_error,max_absolute_area_fraction_error,max_predicted_instances
low (<=0.05),9,0.4444788583713328,0.4996501049685094,0.5920388448909577,0.007229662698412699,0.007229662698412699,0.011997767857142858,188
intermediate (0.05-0.15),13,0.7576628177392197,0.7506493506493507,0.8588670898606919,0.003109975961538461,0.0007898351648351647,0.008147321428571429,203
high (>0.15),4,0.7752167650882287,0.7710665910854215,0.8726722295451128,0.006675502232142857,-0.00537109375,0.01605747767857143,122
