images,mean_union_mask_iou,median_union_mask_iou,mean_union_mask_dice,mean_absolute_area_fraction_error,mean_signed_area_fraction_error,max_absolute_area_fraction_error,max_predicted_instances,score_threshold,detection_cap,images_at_cap
26,0.5781346653567618,0.5031688241639698,0.709427530805968,0.02003884787087912,-0.018906679258241757,0.07710658482142857,50,0.05,50,25
26,0.5781346653567618,0.5031688241639698,0.709427530805968,0.02003884787087912,-0.018906679258241757,0.07710658482142857,50,0.1,50,25
26,0.578189386630881,0.5031688241639698,0.7094593503619534,0.02001953125,-0.01892599587912088,0.07710658482142857,50,0.2,50,24
26,0.5784755479324305,0.5031688241639698,0.7096252016811865,0.019977141998626373,-0.01898233602335165,0.07710658482142857,50,0.3,50,23
26,0.619072063609577,0.5401042147378845,0.7497058812932311,0.02002597012362637,-0.019174965659340657,0.07710658482142857,50,0.4,50,20
26,0.6204875387525568,0.5425808741870243,0.7507874560984843,0.02019499055631868,-0.019401935954670328,0.07710658482142857,50,0.5,50,18
26,0.6108879689685233,0.5317838516620513,0.7435879769830964,0.021990899725274723,-0.02162817651098901,0.07710658482142857,50,0.7,50,10
26,0.636488939352636,0.6301416241415164,0.7575318628507834,0.009191492101648352,-0.0030852936126373625,0.03310546875,100,0.05,100,24
26,0.6379154465971042,0.6301416241415164,0.7584095238500285,0.00879657451923077,-0.0034802111950549453,0.03310546875,100,0.1,100,23
26,0.6414674269562131,0.6301416241415164,0.7613626505360378,0.008211173592032966,-0.0040656121222527476,0.03310546875,100,0.2,100,19
26,0.644940800189147,0.6301416241415164,0.764209249674033,0.007862937843406593,-0.004544771634615384,0.03310546875,100,0.3,100,17
26,0.6866702882200441,0.6859284910572454,0.8051513847677025,0.007782451923076922,-0.005440848214285713,0.03310546875,100,0.4,100,11
26,0.6857786814832306,0.6742915360171997,0.8050275957881747,0.008624334649725276,-0.007274317479395605,0.033426339285714285,100,0.5,100,4
26,0.6326409082120649,0.5993114851090551,0.7631411734063888,0.018203768887362637,-0.017841045673076924,0.06689453125,78,0.7,100,0
26,0.6100614972144738,0.6856220345866113,0.7319468332303092,0.011041595123626374,0.010741114354395604,0.02435825892857143,200,0.05,200,19
26,0.616099206431098,0.6856220345866113,0.7370258919885502,0.010103665865384616,0.009803185096153846,0.024330357142857143,200,0.1,200,17
26,0.6337887864674141,0.7016912558474271,0.7525806598330642,0.007115491929945055,0.005929666037087912,0.0232421875,200,0.2,200,11
26,0.6519865296626016,0.7069361246772549,0.7686536201726771,0.005066320398351648,0.0020529275412087913,0.01605747767857143,200,0.3,200,1
26,0.6955289577333811,0.7268763854366423,0.8116568118193354,0.005263242616758241,-0.0025202824519230766,0.020131138392857142,140,0.4,200,0
26,0.6867273236399114,0.6742915360171997,0.8057776355125393,0.008404339800824176,-0.007054322630494505,0.033426339285714285,117,0.5,200,0
26,0.6326409082120649,0.5993114851090551,0.7631411734063888,0.018203768887362637,-0.017841045673076924,0.06689453125,78,0.7,200,0
26,0.5930998841644511,0.6735358323508734,0.7163734001643352,0.01755934495192308,0.01755934495192308,0.038671875,300,0.05,300,14
26,0.6057655235022492,0.6826793072766578,0.727421871347427,0.014591024210164836,0.014591024210164836,0.032463727678571426,300,0.1,300,9
26,0.6299247124020663,0.698709992372841,0.7489940131467636,0.008961302369505495,0.007889229910714286,0.02451171875,285,0.2,300,0
26,0.6519535929347987,0.7069361246772549,0.7686273342456947,0.005084563873626374,0.0020711710164835165,0.01605747767857143,203,0.3,300,0
26,0.6955289577333811,0.7268763854366423,0.8116568118193354,0.005263242616758241,-0.0025202824519230766,0.020131138392857142,140,0.4,300,0
26,0.6867273236399114,0.6742915360171997,0.8057776355125393,0.008404339800824176,-0.007054322630494505,0.033426339285714285,117,0.5,300,0
26,0.6326409082120649,0.5993114851090551,0.7631411734063888,0.018203768887362637,-0.017841045673076924,0.06689453125,78,0.7,300,0
