case_label,state_label,state_voltage,frames,vapor_area_fraction_mean,vapor_area_fraction_std,vapor_area_fraction_median,vapor_area_fraction_ci95_lower,vapor_area_fraction_ci95_upper,lag1_autocorrelation,tau_int_frames,effective_sample_size,bootstrap_block_length_frames,active_length_fraction_mean,predicted_instances_mean,predicted_instances_max
5gs_22C,25,25.0,88,0.02194919338474026,0.0015018341972486133,0.021700613839285714,0.021440132438362416,0.022526268897118507,0.6000175716166836,5.677472812160951,15.499854056809754,6,0.17924360795454544,169.73863636363637,197
5gs_22C,27.5,27.5,99,0.032507412292568545,0.0030647255517964847,0.03215680803571429,0.03176501341540404,0.033353121758883476,0.30869167458228747,3.4455597441907715,28.732631952446745,4,0.26749921085858586,188.77777777777777,207
5gs_22C,30,30.0,103,0.041383766036754505,0.0023590215061683774,0.041336495535714286,0.040599512531423375,0.042153686015516646,0.5359948485021546,7.2594304285614975,14.188440954645268,8,0.334619614684466,198.9902912621359,225
