case_label,state_label,state_voltage,frame_index,time_ms,frame_name,vapor_area_fraction,active_length_fraction,predicted_instances
5gs_22C,25,25.0,45,15.0,192.168.0.10_C001H001S0001000046.bmp,0.02154017857142857,0.1748046875,180
5gs_22C,25,25.0,46,15.333333333333334,192.168.0.10_C001H001S0001000047.bmp,0.02339564732142857,0.171875,178
5gs_22C,25,25.0,47,15.666666666666666,192.168.0.10_C001H001S0001000048.bmp,0.023563058035714287,0.1806640625,182
5gs_22C,25,25.0,48,16.0,192.168.0.10_C001H001S0001000049.bmp,0.022614397321428573,0.1650390625,177
5gs_22C,25,25.0,49,16.333333333333332,192.168.0.10_C001H001S0001000050.bmp,0.0216796875,0.166015625,179
5gs_22C,25,25.0,50,16.666666666666668,192.168.0.10_C001H001S0001000051.bmp,0.02152622767857143,0.18359375,183
5gs_22C,25,25.0,51,17.0,192.168.0.10_C001H001S0001000052.bmp,0.02046595982142857,0.1611328125,172
5gs_22C,25,25.0,52,17.333333333333332,192.168.0.10_C001H001S0001000053.bmp,0.022837611607142858,0.193359375,176
5gs_22C,25,25.0,53,17.666666666666668,192.168.0.10_C001H001S0001000054.bmp,0.022042410714285716,0.1767578125,171
5gs_22C,25,25.0,54,18.0,192.168.0.10_C001H001S0001000055.bmp,0.022837611607142858,0.1845703125,173
5gs_22C,25,25.0,55,18.333333333333332,192.168.0.10_C001H001S0001000056.bmp,0.0265625,0.2119140625,166
5gs_22C,25,25.0,56,18.666666666666668,192.168.0.10_C001H001S0001000057.bmp,0.026925223214285716,0.2080078125,169
5gs_22C,25,25.0,57,19.0,192.168.0.10_C001H001S0001000058.bmp,0.025864955357142855,0.197265625,163
5gs_22C,25,25.0,58,19.333333333333332,192.168.0.10_C001H001S0001000059.bmp,0.023507254464285716,0.1669921875,157
5gs_22C,25,25.0,59,19.666666666666668,192.168.0.10_C001H001S0001000060.bmp,0.0236328125,0.1787109375,161
5gs_22C,25,25.0,60,20.0,192.168.0.10_C001H001S0001000061.bmp,0.025753348214285713,0.189453125,175
5gs_22C,25,25.0,61,20.333333333333332,192.168.0.10_C001H001S0001000062.bmp,0.023646763392857144,0.1708984375,166
5gs_22C,25,25.0,62,20.666666666666668,192.168.0.10_C001H001S0001000063.bmp,0.023311941964285713,0.1689453125,169
5gs_22C,25,25.0,63,21.0,192.168.0.10_C001H001S0001000064.bmp,0.022823660714285713,0.1767578125,173
5gs_22C,25,25.0,64,21.333333333333332,192.168.0.10_C001H001S0001000065.bmp,0.02289341517857143,0.1689453125,175
5gs_22C,25,25.0,65,21.666666666666668,192.168.0.10_C001H001S0001000066.bmp,0.022042410714285716,0.169921875,165
5gs_22C,25,25.0,66,22.0,192.168.0.10_C001H001S0001000067.bmp,0.023744419642857142,0.1845703125,181
5gs_22C,25,25.0,67,22.333333333333332,192.168.0.10_C001H001S0001000068.bmp,0.021958705357142855,0.169921875,174
5gs_22C,25,25.0,68,22.666666666666668,192.168.0.10_C001H001S0001000069.bmp,0.01943359375,0.15234375,158
5gs_22C,25,25.0,69,23.0,192.168.0.10_C001H001S0001000070.bmp,0.021498325892857145,0.1708984375,159
5gs_22C,25,25.0,70,23.333333333333332,192.168.0.10_C001H001S0001000071.bmp,0.020926339285714284,0.15625,149
5gs_22C,25,25.0,71,23.666666666666668,192.168.0.10_C001H001S0001000072.bmp,0.019866071428571427,0.1650390625,156
5gs_22C,25,25.0,72,24.0,192.168.0.10_C001H001S0001000073.bmp,0.018875558035714286,0.1650390625,144
5gs_22C,25,25.0,73,24.333333333333332,192.168.0.10_C001H001S0001000074.bmp,0.021484375,0.18359375,155
5gs_22C,25,25.0,74,24.666666666666668,192.168.0.10_C001H001S0001000075.bmp,0.021219308035714285,0.173828125,149
5gs_22C,25,25.0,75,25.0,192.168.0.10_C001H001S0001000076.bmp,0.020689174107142858,0.1669921875,157
5gs_22C,25,25.0,76,25.333333333333332,192.168.0.10_C001H001S0001000077.bmp,0.020591517857142857,0.1708984375,152
5gs_22C,25,25.0,77,25.666666666666668,192.168.0.10_C001H001S0001000078.bmp,0.021275111607142856,0.173828125,152
5gs_22C,25,25.0,78,26.0,192.168.0.10_C001H001S0001000079.bmp,0.021023995535714286,0.17578125,143
5gs_22C,25,25.0,79,26.333333333333332,192.168.0.10_C001H001S0001000080.bmp,0.02006138392857143,0.15625,143
5gs_22C,25,25.0,80,26.666666666666668,192.168.0.10_C001H001S0001000081.bmp,0.020968191964285714,0.1611328125,142
5gs_22C,25,25.0,81,27.0,192.168.0.10_C001H001S0001000082.bmp,0.021065848214285716,0.166015625,150
5gs_22C,25,25.0,82,27.333333333333332,192.168.0.10_C001H001S0001000083.bmp,0.022377232142857143,0.177734375,152
5gs_22C,25,25.0,83,27.666666666666668,192.168.0.10_C001H001S0001000084.bmp,0.021163504464285714,0.173828125,153
5gs_22C,25,25.0,84,28.0,192.168.0.10_C001H001S0001000085.bmp,0.02265625,0.1923828125,168
5gs_22C,25,25.0,85,28.333333333333332,192.168.0.10_C001H001S0001000086.bmp,0.02172154017857143,0.1826171875,160
5gs_22C,25,25.0,86,28.666666666666668,192.168.0.10_C001H001S0001000087.bmp,0.021135602678571428,0.181640625,166
5gs_22C,25,25.0,87,29.0,192.168.0.10_C001H001S0001000088.bmp,0.0205078125,0.1767578125,150
5gs_22C,27.5,27.5,0,0.0,192.168.0.10_C001H001S0001000001.bmp,0.03003627232142857,0.2646484375,173
5gs_22C,27.5,27.5,1,0.3333333333333333,192.168.0.10_C001H001S0001000002.bmp,0.029952566964285714,0.2578125,181
5gs_22C,27.5,27.5,2,0.6666666666666666,192.168.0.10_C001H001S0001000003.bmp,0.02933872767857143,0.2353515625,185
5gs_22C,27.5,27.5,3,1.0,192.168.0.10_C001H001S0001000004.bmp,0.027804129464285714,0.2421875,175
5gs_22C,27.5,27.5,4,1.3333333333333333,192.168.0.10_C001H001S0001000005.bmp,0.031138392857142858,0.26171875,187
5gs_22C,27.5,27.5,5,1.6666666666666667,192.168.0.10_C001H001S0001000006.bmp,0.031473214285714285,0.2578125,183
5gs_22C,27.5,27.5,6,2.0,192.168.0.10_C001H001S0001000007.bmp,0.032965959821428574,0.259765625,177
5gs_22C,27.5,27.5,7,2.3333333333333335,192.168.0.10_C001H001S0001000008.bmp,0.033928571428571426,0.26953125,190
5gs_22C,27.5,27.5,8,2.6666666666666665,192.168.0.10_C001H001S0001000009.bmp,0.029436383928571428,0.240234375,190
5gs_22C,27.5,27.5,9,3.0,192.168.0.10_C001H001S0001000010.bmp,0.03021763392857143,0.24609375,192
5gs_22C,27.5,27.5,10,3.3333333333333335,192.168.0.10_C001H001S0001000011.bmp,0.031096540178571427,0.236328125,192
5gs_22C,27.5,27.5,11,3.6666666666666665,192.168.0.10_C001H001S0001000012.bmp,0.03037109375,0.2470703125,189
5gs_22C,27.5,27.5,12,4.0,192.168.0.10_C001H001S0001000013.bmp,0.030259486607142855,0.2646484375,194
5gs_22C,27.5,27.5,13,4.333333333333333,192.168.0.10_C001H001S0001000014.bmp,0.029213169642857143,0.2529296875,191
5gs_22C,27.5,27.5,14,4.666666666666667,192.168.0.10_C001H001S0001000015.bmp,0.029227120535714284,0.2490234375,195
5gs_22C,27.5,27.5,15,5.0,192.168.0.10_C001H001S0001000016.bmp,0.032477678571428574,0.275390625,206
5gs_22C,27.5,27.5,16,5.333333333333333,192.168.0.10_C001H001S0001000017.bmp,0.030050223214285715,0.255859375,207
5gs_22C,27.5,27.5,17,5.666666666666667,192.168.0.10_C001H001S0001000018.bmp,0.031166294642857143,0.2607421875,194
5gs_22C,27.5,27.5,18,6.0,192.168.0.10_C001H001S0001000019.bmp,0.031431361607142855,0.265625,191
5gs_22C,27.5,27.5,19,6.333333333333333,192.168.0.10_C001H001S0001000020.bmp,0.031459263392857144,0.2587890625,201
5gs_22C,27.5,27.5,20,6.666666666666667,192.168.0.10_C001H001S0001000021.bmp,0.029952566964285714,0.2470703125,180
5gs_22C,27.5,27.5,21,7.0,192.168.0.10_C001H001S0001000022.bmp,0.030092075892857142,0.255859375,187
5gs_22C,27.5,27.5,22,7.333333333333333,192.168.0.10_C001H001S0001000023.bmp,0.03415178571428571,0.26953125,200
5gs_22C,27.5,27.5,23,7.666666666666667,192.168.0.10_C001H001S0001000024.bmp,0.032003348214285715,0.2666015625,202
5gs_22C,27.5,27.5,24,8.0,192.168.0.10_C001H001S0001000025.bmp,0.03175223214285714,0.265625,197
5gs_22C,27.5,27.5,25,8.333333333333334,192.168.0.10_C001H001S0001000026.bmp,0.03291015625,0.275390625,193
5gs_22C,27.5,27.5,26,8.666666666666666,192.168.0.10_C001H001S0001000027.bmp,0.03369140625,0.2841796875,199
5gs_22C,27.5,27.5,27,9.0,192.168.0.10_C001H001S0001000028.bmp,0.032352120535714284,0.2724609375,190
