state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean,thermal_rows,time_start_s,time_end_s,voltage_mean_v,power_mean_w,heat_flux_mean_w_cm2,inlet_subcooling_mean_c,pressure_drop_mean_kpa,htc_mean_w_m2k,quality_x7_mean,ae_hits,ae_hit_rate_hz,ae_abs_energy_rate,ae_amp_mean_db,ae_ch1_hit_rate_hz,ae_ch2_hit_rate_hz,case_label,mass_flow_g_s,subcooling_nominal_c
25,25.0,6,0.0717099144345238,0.0161115005506348,0.2796223958333333,1021.1666666666666,100,439.0,448.9,24.940135,21.613156090000004,7.543859019197209,24.19162910470076,1.699192471876,3159.3973141098973,-0.2774540362056991,16.0,1.61616161616162,3.9746060606060696,38.45,1.2121212121212148,0.404040404040405,5gs_22C,5.0,22.0
27.5,27.5,6,0.0430594308035714,0.013842848218161,0.2734375,1016.5,140,535.0,548.9,27.43824238571429,26.12359090714286,9.11818181750187,24.39169863819981,1.6869701780885729,3542.3134988188726,-0.2707362988360512,343.0,24.6762589928058,257.3272420863313,38.56413994169096,18.920863309352548,5.755395683453247,5gs_22C,5.0,22.0
30,30.0,6,0.0401971726190476,0.0042413987724156,0.30029296875,1015.3333333333334,330,587.0,619.9,29.93737705151515,31.063745684848485,10.84249413083717,24.563280116898135,1.691404210398788,3962.953158476537,-0.2624396832193107,1261.0,38.32826747720368,654.8217042249245,38.83330689928628,26.717325227963546,11.61094224924013,5gs_22C,5.0,22.0
35,35.0,6,0.0482073102678571,0.0043120289330616,0.3670247395833333,1012.3333333333334,192,676.0,1201.9,34.940055541666666,42.20828230729166,14.732384749490985,24.807385692399794,1.698870778101561,4848.148499406548,-0.2416202594154575,571194.0,1086.126640045636,94495.61084870128,40.066138474843946,546.0905115040881,540.0361285415478,5gs_22C,5.0,22.0
37.5,37.5,6,0.0537388392857142,0.0057616680806748,0.3976236979166667,1019.0,110,769.0,779.9,37.449040454545454,48.44306156363636,16.908572971600826,25.124176873792983,1.7889260647254543,5328.840877410196,-0.230330619310505,3991.0,366.1467889908265,4198.037955688083,38.75602605863192,141.28440366972507,224.86238532110136,5gs_22C,5.0,22.0
40,40.0,6,0.0700776599702381,0.0056471960943075,0.4384765625,1016.8333333333334,70,846.0,852.9,39.95498897142857,55.08806204285714,19.22794486661681,25.60742743249571,1.872007181817143,5797.724673047554,-0.2162187655681606,4268.0,618.5507246376832,10057.328928260902,38.946344892221184,263.623188405798,354.92753623188526,5gs_22C,5.0,22.0
42.5,42.5,6,0.0855771019345238,0.0093310071745265,0.4944661458333333,1014.5,70,908.0,914.9,42.46497468571428,62.17432465714284,21.70133495886313,25.64680033879016,1.893413452394285,6352.755193646445,-0.1987729241827306,6134.0,888.9855072463797,18771.84118347832,39.09594065862407,391.1594202898564,497.8260869565234,5gs_22C,5.0,22.0
45,45.0,6,0.1190894717261904,0.02345835173805,0.5284830729166666,1014.1666666666666,122,968.0,1196.9,44.98591622131148,69.71991313934426,24.335048216176016,25.46802275831228,1.858801512631148,6896.62491689622,-0.1788077554064125,372574.0,1627.6714722586275,196513.1851596461,40.5810241723792,876.8326780253383,750.8387942332894,5gs_22C,5.0,22.0
47.5,47.5,6,0.2265880766369047,0.0301477721909174,0.6661783854166666,1010.0,140,1027.0,1040.9,47.48678115714286,77.61558629999999,27.090955078534037,25.368749344664085,1.8170657799099992,7456.263468192543,-0.1595971292091076,24285.0,1747.1223021582618,103923.05397143816,40.0044101297097,909.999999999994,837.1223021582679,5gs_22C,5.0,22.0
49,49.0,6,0.2649181547619048,0.0119942233742005,0.69775390625,1013.5,130,1067.0,1079.9,48.994987723076925,82.59045136923078,28.82738267686938,25.313144425252972,1.7641589812430778,7706.747627642718,-0.1481031760223354,23644.0,1832.8682170542504,148529.08449682064,40.36414312299104,989.922480620148,842.9457364341026,5gs_22C,5.0,22.0
