case_label,ae_evidence_tier,recommended_claim_scope,states,ae_pass_states,ae_caution_states,ae_blocked_states,ae_nonblocked_states,ae_pass_fraction,ae_blocked_fraction,ae_nonblocked_fraction,vapor_ae_spearman_nonblocked,vapor_ae_max_abs_delta,most_influential_removed_state,trigger_synchronization_verified,sensor_coupling_verified,limiting_factors
10gs_22C,blocked_mixed_window_snapshot,state-matched screening only; exclude blocked windows from AE correlations,7,0,6,1,6,0.0,0.14285714285714285,0.8571428571428571,0.6571428571428573,0.05714285714285727,30V,False,False,overlap_blocked_windows;no_pass_quality_windows;trigger_synchronization_unverified;sensor_coupling_unverified
15gs_20C,blocked_mixed_window_snapshot,state-matched screening only; exclude blocked windows from AE correlations,9,0,8,1,8,0.0,0.1111111111111111,0.8888888888888888,0.11904761904761905,0.5595238095238096,55 CHF,False,False,overlap_blocked_windows;no_pass_quality_windows;state_sensitive_vapor_ae_rank;trigger_synchronization_unverified;sensor_coupling_unverified
25gs_20C,exploratory_legacy_window_snapshot,state-matched exploratory comparison only,8,0,8,0,8,0.0,0.0,1.0,0.7142857142857144,0.2142857142857144,45,False,False,no_pass_quality_windows;trigger_synchronization_unverified;sensor_coupling_unverified
5gs_22C,blocked_mixed_window_snapshot,state-matched screening only; exclude blocked windows from AE correlations,12,0,10,2,10,0.0,0.16666666666666666,0.8333333333333334,0.7575757575757575,0.09242424242424241,25,False,False,overlap_blocked_windows;no_pass_quality_windows;trigger_synchronization_unverified;sensor_coupling_unverified
