case_label,states,ae_pass_states,ae_caution_states,ae_blocked_states,spearman_heat_flux_vapor_area,spearman_heat_flux_active_length,spearman_vapor_area_ae_all_states,spearman_vapor_area_ae_nonblocked,ae_nonblocked_states,max_vapor_state,max_vapor_area_fraction,heat_flux_at_max_vapor_w_cm2,final_state,final_vapor_area_fraction,final_heat_flux_w_cm2,final_ae_abs_energy_rate
5gs_22C,12,0,10,2,0.8881118881118882,0.9930069930069931,0.7832167832167832,0.7575757575757575,10,52CHF,0.3479771205357143,32.42097546377094,52CHF,0.3479771205357143,32.42097546377094,176802.21053093811
10gs_22C,7,0,6,1,0.5714285714285715,0.8928571428571429,0.6785714285714287,0.6571428571428573,6,52.5V,0.301274181547619,33.06450175728286,55V,0.1622674851190476,36.22877817801047,499702.8330125444
15gs_20C,9,0,8,1,0.8499999999999999,0.9666666666666667,0.25,0.11904761904761905,8,55 CHF,0.2828369140625,36.30269344624863,55 CHF,0.2828369140625,36.30269344624863,350.10227444444405
25gs_20C,8,0,8,0,0.8095238095238096,0.9285714285714287,0.7142857142857144,0.7142857142857144,8,57.5,0.1980701264880952,39.689507265270514,59CHF,0.1817685081845238,41.75826315845711,1332164.95973453
