case_label,state_label,image_frames_from_metrics,vapor_area_fraction_n,vapor_area_fraction_mean,vapor_area_fraction_std,vapor_area_fraction_sem,vapor_area_fraction_ci95_half_width,vapor_area_fraction_relative_ci95_half_width,active_length_fraction_n,active_length_fraction_mean,active_length_fraction_std,active_length_fraction_sem,active_length_fraction_ci95_half_width,active_length_fraction_relative_ci95_half_width,state_voltage,heat_flux_mean_w_cm2,multimodal_complete,sampling_warning
10gs_22C,25V,6,6,0.12307245163690472,0.027947921422877567,0.011409691142908142,0.029334315928416833,0.23834997628031807,6,0.2776692708333333,0.07039834892186378,0.028740005598829426,0.07389055439459045,0.2661099450177982,25.0,6.51485840139616,True,short_sample;wide_active_length_ci
10gs_22C,30V,6,6,0.0762927827380952,0.021440354997722982,0.00875298827475875,0.02250393285440475,0.2949680434603925,6,0.3030598958333333,0.034980390595832106,0.01428068466050665,0.0367156402621626,0.12114978183175458,30.0,10.407640857360573,True,short_sample;wide_vapor_ci
10gs_22C,35V,6,6,0.05139973958333329,0.007964313722895612,0.0032514174620900185,0.008359394295033438,0.1626349542390294,6,0.3097330729166667,0.016193475472172075,0.006610958678182747,0.016996774761607845,0.05487555656086106,35.0,14.666111512507277,True,short_sample
10gs_22C,40V,6,6,0.058558872767857116,0.006132300586228705,0.0025035012309384138,0.006436501664742663,0.10991505403901233,6,0.3826497395833333,0.024538096385722876,0.01001763590070886,0.02575534190072248,0.06730787777032707,40.0,19.147312849663425,True,short_sample
10gs_22C,50V,6,6,0.2662969680059524,0.006988923457673641,0.002853216053778055,0.00733561847426338,0.027546759278533773,6,0.6857096354166666,0.015045613765179657,0.006142346098614161,0.01579197181953701,0.023030115086455114,50.0,29.96831185863875,True,short_sample
10gs_22C,52.5V,6,6,0.30127418154761904,0.017708728750759208,0.007229558238785708,0.018587194231918056,0.06169527749253942,6,0.72021484375,0.023411036492190427,0.009557515625923855,0.024572372674250234,0.034118114736857275,52.5,33.06450175728286,True,short_sample
10gs_22C,55V,6,6,0.16226748511904757,0.02203131372359102,0.008994246164329079,0.023124206888490064,0.14250671890012337,6,0.5706380208333334,0.017168253902400548,0.007008910305904569,0.018019908396480648,0.03157852743524732,55.0,36.22877817801047,True,short_sample
10gs_22C,45V,6,6,0.11059105282738091,0.025790584260821852,0.010528961934544735,0.027069961133714515,0.2447753271321814,6,0.4860026041666667,0.03582090176950783,0.014623821910275538,0.03759784613131841,0.07736140878460158,,,,short_sample
15gs_20C,25_ONSET,8,8,0.12407052176339281,0.019394526658909346,0.0068570006592090366,0.01621680655902937,0.13070636222482757,8,0.2650146484375,0.0486210382579859,0.017190132930276197,0.040654664380103206,0.1534053480432084,25.0,7.545919638267494,True,none
15gs_20C,30,8,8,0.06929931640624994,0.01627928714406017,0.005755597166223965,0.013611987298119677,0.19642311070318214,8,0.2119140625,0.031188905122404905,0.011026943154918178,0.026078720561381493,0.12306271822513663,30.0,10.846555389497064,True,none
