state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean
25_ONSET,25.0,8,0.12407052176339285,0.019394526658909342,0.2650146484375,1022.125
30,30.0,8,0.06929931640625,0.016279287144060173,0.2119140625,1009.875
35,35.0,8,0.08250558035714285,0.014863460718553748,0.306640625,1019.0
40,40.0,8,0.061404854910714284,0.021715007915430865,0.302490234375,1021.75
45,45.0,8,0.12421700613839286,0.020817552369103678,0.4329833984375,1017.5
50,50.0,8,0.21000802176339287,0.009459681038910935,0.5826416015625,1019.75
52.5,52.5,8,0.23777029854910714,0.01679880321374868,0.63330078125,1021.125
54,54.0,8,0.2665858677455357,0.0228974456535418,0.6778564453125,1020.875
55 CHF,55.0,8,0.2828369140625,0.01479730062719244,0.6785888671875,1020.875
