state_label,state_voltage,frame_name,vapor_area_fraction,active_length_fraction,vapor_front_x_px
25_ONSET,25.0,192.168.0.10_C001H001S0001000001.bmp,0.1203125,0.2431640625,1022.0
25_ONSET,25.0,192.168.0.10_C001H001S0001000014.bmp,0.11489955357142857,0.2197265625,1022.0
25_ONSET,25.0,192.168.0.10_C001H001S0001000028.bmp,0.08896484375,0.1982421875,1022.0
25_ONSET,25.0,192.168.0.10_C001H001S0001000042.bmp,0.11275111607142857,0.2373046875,1022.0
25_ONSET,25.0,192.168.0.10_C001H001S0001000055.bmp,0.14926060267857144,0.2939453125,1022.0
25_ONSET,25.0,192.168.0.10_C001H001S0001000069.bmp,0.1453822544642857,0.322265625,1023.0
25_ONSET,25.0,192.168.0.10_C001H001S0001000083.bmp,0.12928292410714284,0.2724609375,1022.0
25_ONSET,25.0,192.168.0.10_C001H001S0001000097.bmp,0.1317103794642857,0.3330078125,1022.0
30,30.0,192.168.0.10_C001H001S0001000001.bmp,0.06262555803571429,0.1826171875,1022.0
30,30.0,192.168.0.10_C001H001S0001000014.bmp,0.08404017857142858,0.2265625,1021.0
30,30.0,192.168.0.10_C001H001S0001000027.bmp,0.04587053571428571,0.1572265625,924.0
30,30.0,192.168.0.10_C001H001S0001000040.bmp,0.049930245535714284,0.1953125,1023.0
30,30.0,192.168.0.10_C001H001S0001000054.bmp,0.07297712053571428,0.228515625,1022.0
30,30.0,192.168.0.10_C001H001S0001000067.bmp,0.08664899553571428,0.2509765625,1022.0
30,30.0,192.168.0.10_C001H001S0001000080.bmp,0.08756975446428572,0.2373046875,1023.0
30,30.0,192.168.0.10_C001H001S0001000094.bmp,0.06473214285714286,0.216796875,1022.0
35,35.0,192.168.0.10_C001H001S0001000001.bmp,0.09076450892857142,0.2890625,1020.0
35,35.0,192.168.0.10_C001H001S0001000020.bmp,0.07087053571428571,0.2880859375,1022.0
35,35.0,192.168.0.10_C001H001S0001000039.bmp,0.06388113839285714,0.28125,1023.0
35,35.0,192.168.0.10_C001H001S0001000058.bmp,0.09295479910714285,0.3125,1023.0
35,35.0,192.168.0.10_C001H001S0001000077.bmp,0.08966238839285715,0.318359375,1019.0
35,35.0,192.168.0.10_C001H001S0001000096.bmp,0.06198381696428571,0.294921875,1005.0
35,35.0,192.168.0.10_C001H001S0001000115.bmp,0.10217633928571429,0.3408203125,1021.0
35,35.0,192.168.0.10_C001H001S0001000134.bmp,0.08775111607142858,0.328125,1019.0
40,40.0,192.168.0.10_C001H001S0001000001.bmp,0.05064174107142857,0.283203125,1023.0
40,40.0,192.168.0.10_C001H001S0001000015.bmp,0.05043247767857143,0.2763671875,1023.0
40,40.0,192.168.0.10_C001H001S0001000029.bmp,0.04486607142857143,0.28125,1016.0
40,40.0,192.168.0.10_C001H001S0001000043.bmp,0.10606863839285714,0.349609375,1023.0
40,40.0,192.168.0.10_C001H001S0001000057.bmp,0.08078962053571428,0.3388671875,1022.0
40,40.0,192.168.0.10_C001H001S0001000071.bmp,0.061356026785714286,0.328125,1023.0
40,40.0,192.168.0.10_C001H001S0001000085.bmp,0.04185267857142857,0.2666015625,1021.0
40,40.0,192.168.0.10_C001H001S0001000100.bmp,0.05523158482142857,0.2958984375,1023.0
45,45.0,192.168.0.10_C001H001S0001000001.bmp,0.11202566964285714,0.4326171875,1023.0
45,45.0,192.168.0.10_C001H001S0001000013.bmp,0.09461495535714286,0.400390625,994.0
45,45.0,192.168.0.10_C001H001S0001000025.bmp,0.11194196428571429,0.421875,1018.0
45,45.0,192.168.0.10_C001H001S0001000038.bmp,0.12550223214285713,0.451171875,1023.0
45,45.0,192.168.0.10_C001H001S0001000050.bmp,0.13567243303571427,0.4296875,1023.0
