state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean,thermal_rows,time_start_s,time_end_s,voltage_mean_v,power_mean_w,heat_flux_mean_w_cm2,inlet_subcooling_mean_c,pressure_drop_mean_kpa,htc_mean_w_m2k,quality_x7_mean,ae_hits,ae_hit_rate_hz,ae_abs_energy_rate,ae_amp_mean_db,ae_ch1_hit_rate_hz,ae_ch2_hit_rate_hz
25_ONSET,25.0,8,0.12407052176339285,0.019394526658909342,0.2650146484375,1022.125,110,226.0,236.9,24.942349200000006,21.619059763636358,7.545919638267494,19.71793004933777,1.311181771638182,4035.0051987743386,-0.24684235308151042,8901,816.6055045871556,26262.601240642187,39.32633411976182,464.95412844036673,351.65137614678883
30,30.0,8,0.06929931640625,0.016279287144060173,0.2119140625,1009.875,110,295.0,305.9,29.939218518181825,31.07538119090909,10.846555389497064,19.860416702361345,1.2500670254800004,4705.125210929203,-0.2416718224014451,16766,1538.1651376146822,85846.93679036714,39.893552427531915,807.7064220183503,730.4587155963318
35,35.0,8,0.08250558035714285,0.014863460718553748,0.306640625,1019.0,110,389.0,399.9,34.94436098181818,42.22977827272728,14.739887704267806,20.01207176731664,1.2636686389236362,5443.298695073092,-0.23538629590938767,18447,1692.385321100921,109067.00157972498,40.065349379302866,856.6972477064238,835.6880733944971
40,40.0,8,0.061404854910714284,0.021715007915430865,0.302490234375,1021.75,100,469.0,478.9,39.95515199,55.10354625000001,19.23334947643979,20.16103227530133,1.268899898530001,6335.547068038896,-0.22771750494955725,17153,1732.6262626262667,256656.97933171774,41.071655104063424,1000.3030303030326,732.323232323234
45,45.0,8,0.12421700613839286,0.020817552369103678,0.4329833984375,1017.5,140,519.0,532.9,44.97516255000001,69.6795851,24.320972111692846,20.210090101193952,1.2044186942157142,7336.859215739229,-0.21694878589969285,21017,1512.0143884892111,372880.6928252524,41.90659466146453,916.6906474820158,595.3237410071952
50,50.0,8,0.21000802176339287,0.009459681038910935,0.5826416015625,1019.75,151,571.0,772.8,50.00668925827815,86.00982626490065,30.020881767853645,20.259073497839417,1.0432241808052978,8183.81548003092,-0.20492221145819378,139436,690.9613478691775,390609.43650434597,43.005811985427,423.0872150644203,267.87413280475727
52.5,52.5,8,0.23777029854910714,0.01679880321374868,0.63330078125,1021.125,150,613.0,627.9,52.521737806666664,94.79655536666665,33.08780292030251,20.248486103557255,0.9293681447613337,8431.854410852995,-0.19800949621318711,16640,1116.7785234899345,540285.876440672,43.08442307692308,703.2214765100682,413.5570469798664
54,54.0,8,0.2665858677455357,0.0228974456535418,0.6778564453125,1020.875,160,677.0,692.9,54.033238393750004,100.30897553125,35.01185882417103,20.25455152521591,0.8733888803800005,8354.734551809783,-0.19390428361484582,13112,824.6540880503156,786568.5719397495,42.99383770591824,480.62893081761075,344.0251572327049
55 CHF,55.0,8,0.2828369140625,0.01479730062719244,0.6785888671875,1020.875,217,734.0,772.7,55.036215078341016,104.00721672350231,36.30269344624863,20.117653334323855,0.8798320315437785,7482.504583964429,-0.18940798419809673,61,1.5762273901808768,350.10227444444405,40.74918032786885,0.28423772609819087,1.2919896640826858
