state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean
25,25.0,6,0.0717099144345238,0.016111500550634865,0.2796223958333333,1021.1666666666666
27.5,27.5,6,0.04305943080357142,0.013842848218161086,0.2734375,1016.5
30,30.0,6,0.04019717261904762,0.004241398772415664,0.30029296875,1015.3333333333334
35,35.0,6,0.04820731026785715,0.00431202893306169,0.3670247395833333,1012.3333333333334
37.5,37.5,6,0.05373883928571429,0.0057616680806748186,0.3976236979166667,1019.0
40,40.0,6,0.0700776599702381,0.005647196094307539,0.4384765625,1016.8333333333334
42.5,42.5,6,0.08557710193452382,0.009331007174526595,0.4944661458333333,1014.5
45,45.0,6,0.11908947172619049,0.023458351738050075,0.5284830729166666,1014.1666666666666
47.5,47.5,6,0.22658807663690475,0.030147772190917497,0.6661783854166666,1010.0
49,49.0,6,0.2649181547619048,0.011994223374200584,0.69775390625,1013.5
50,50.0,6,0.30799386160714287,0.02155052360181434,0.75341796875,1013.8333333333334
52CHF,52.0,6,0.3479771205357143,0.019860529486325395,0.80517578125,1020.0
