state_label,state_voltage,frame_name,vapor_area_fraction,active_length_fraction,vapor_front_x_px
49,49.0,192.168.0.10_C001H001S0001000037.bmp,0.26138392857142856,0.716796875,1021.0
49,49.0,192.168.0.10_C001H001S0001000055.bmp,0.273046875,0.7412109375,1020.0
49,49.0,192.168.0.10_C001H001S0001000073.bmp,0.277734375,0.7060546875,1018.0
49,49.0,192.168.0.10_C001H001S0001000092.bmp,0.27110770089285713,0.689453125,1008.0
50,50.0,192.168.0.10_C001H001S0001000001.bmp,0.2893694196428571,0.716796875,994.0
50,50.0,192.168.0.10_C001H001S0001000019.bmp,0.3137276785714286,0.767578125,1017.0
50,50.0,192.168.0.10_C001H001S0001000038.bmp,0.29847935267857145,0.759765625,1021.0
50,50.0,192.168.0.10_C001H001S0001000056.bmp,0.28939732142857144,0.74609375,1015.0
50,50.0,192.168.0.10_C001H001S0001000075.bmp,0.3467354910714286,0.77734375,1016.0
50,50.0,192.168.0.10_C001H001S0001000094.bmp,0.31025390625,0.7529296875,1020.0
52CHF,52.0,192.168.0.10_C001H001S0001000001.bmp,0.37924107142857144,0.818359375,1021.0
52CHF,52.0,192.168.0.10_C001H001S0001000049.bmp,0.3364955357142857,0.7958984375,1021.0
52CHF,52.0,192.168.0.10_C001H001S0001000097.bmp,0.32576729910714286,0.8017578125,1015.0
52CHF,52.0,192.168.0.10_C001H001S0001000145.bmp,0.3492466517857143,0.80859375,1021.0
52CHF,52.0,192.168.0.10_C001H001S0001000193.bmp,0.362109375,0.8115234375,1020.0
52CHF,52.0,192.168.0.10_C001H001S0001000242.bmp,0.33500279017857143,0.794921875,1022.0
