case_label,state_label,state_voltage,thermal_rows,thermal_candidate_rows,thermal_window_blocks,thermal_window_block_index,thermal_window_selection,thermal_window_gap_threshold_s,thermal_window_duration_s,thermal_window_max_internal_gap_s,time_start_s,time_end_s,voltage_mean_v,power_mean_w,power_std_w,heat_flux_mean_w_cm2,heat_flux_std_w_cm2,mass_flow_mean_kg_s,mass_flow_std_kg_s,fluid_velocity_mean_m_s,inlet_subcooling_mean_c,pressure_drop_mean_kpa,inlet_temperature_mean_c,outlet_temperature_mean_c,wall_temperature_mean_c,wall_temperature_std_c,htc_mean_w_m2k,quality_x7_mean,mass_flux_kg_m2_s,mass_flux_std_kg_m2_s,heat_flux_from_power_w_cm2,heat_flux_reconstruction_delta_w_cm2,bulk_temperature_rise_c
5gs_22C,25,25.0,100,100,1,0.0,largest_contiguous_block,5.0,9.899999999999977,0.10000000000002274,439.0,448.9,24.940135,21.613156090000004,0.002496365596990646,7.543859019197209,0.0008713317965063534,0.00553298746,2.946138820075438e-05,0.2634755933333333,24.19162910470076,1.6991924718759999,33.764775019999995,36.24180700000001,59.589041177142875,0.009386713628366638,3159.3973141098973,-0.2774540362056991,442.63899680000003,2.3569110560603503,7.5438590191972095,-8.881784197001252e-16,2.477031980000014
5gs_22C,27.5,27.5,140,140,1,0.0,largest_nonoverlapping_contiguous_block,5.0,13.899999999999977,0.10000000000002274,535.0,548.9,27.438242385714286,26.12359090714286,0.0030691574755981102,9.11818181750187,0.0010712591537864774,0.005508294642857143,2.430933375471551e-05,0.26229974489795915,24.39169863819981,1.6869701780885729,33.687332028571426,36.939227,61.82193955918366,0.02086148118546039,3542.3134988188726,-0.2707362988360512,440.6635714285714,1.9447467003772405,9.11818181750187,0.0,3.2518949714285768
5gs_22C,30,30.0,330,330,1,0.0,largest_nonoverlapping_contiguous_block,5.0,32.89999999999998,0.10000000000002274,587.0,619.9,29.93737705151515,31.063745684848485,0.003101679625977142,10.84249413083717,0.001082610689695302,0.005467103533333333,2.9474070469429184e-05,0.26033826349206346,24.563280116898138,1.6914042103987879,33.62928961212121,37.5686222060606,63.872421203463205,0.032354369301881465,3962.9531584765373,-0.2624396832193107,437.36828266666663,2.3579256375543345,10.842494130837167,3.552713678800501e-15,3.9393325939393904
5gs_22C,35,35.0,190,192,3,0.0,largest_nonoverlapping_contiguous_block,5.0,18.899999999999977,0.10000000000002274,676.0,694.9,34.943068031578946,42.21703779473683,0.004436291230101773,14.735440766051253,0.0015484437103319834,0.005409301157894738,2.8104389135953448e-05,0.25758576942355893,24.806925432898613,1.697109358021051,33.58678298947368,39.2224004736842,67.7823067293233,0.0246887149394992,4877.453563607934,-0.2416687777848443,432.744092631579,2.2483511308762756,14.735440766051251,1.7763568394002505e-15,5.6356174842105204
5gs_22C,37.5,37.5,110,110,1,0.0,largest_nonoverlapping_contiguous_block,5.0,10.899999999999977,0.10000000000002274,769.0,779.9,37.449040454545454,48.44306156363636,0.004611424877862712,16.908572971600826,0.0016095723831983995,0.005269109145454544,3.407204419909761e-05,0.25090995930735926,25.124176873792983,1.7889260647254543,33.516721145454554,40.473290909090906,69.92286054025972,0.037493506795864946,5328.840877410196,-0.23033061931050508,421.52873163636355,2.7257635359278085,16.908572971600826,0.0,6.956569763636352
5gs_22C,40,40.0,70,70,1,0.0,largest_nonoverlapping_contiguous_block,5.0,6.899999999999977,0.10000000000002274,846.0,852.9,39.95498897142857,55.08806204285714,0.004561363390877783,19.227944866616806,0.0015920989147906297,0.004998494628571429,2.1729589239714243e-05,0.23802355374149653,25.60742743249571,1.872007181817143,33.31203468571427,41.15386785714284,72.11175774285718,0.005200810744341142,5797.724673047554,-0.21621876556816066,399.87957028571435,1.7383671391771394,19.227944866616806,0.0,7.8418331714285685
5gs_22C,42.5,42.5,70,70,1,0.0,largest_nonoverlapping_contiguous_block,5.0,6.899999999999977,0.10000000000002274,908.0,914.9,42.46497468571428,62.17432465714284,0.00485586523845905,21.70133495886313,0.0016948918807884654,0.004934706828571429,2.7572909000553322e-05,0.2349860394557823,25.64680033879016,1.893413452394285,33.38868351428572,41.95125900000001,74.0843685020408,0.012449495210823839,6352.755193646445,-0.19877292418273068,394.7765462857143,2.2058327200442656,21.70133495886312,7.105427357601002e-15,8.56257548571429
5gs_22C,45,45.0,120,122,3,0.0,largest_nonoverlapping_contiguous_block,5.0,11.899999999999977,0.10000000000002274,968.0,979.9,44.975469999999994,69.68604965,0.005419455336597179,24.323228499127406,0.0018916074473296182,0.0049322636,2.49833245126464e-05,0.23486969523809523,25.477877275730354,1.858181289155,33.59098413333333,42.810756033333334,76.06782731904761,0.028755765469272183,6940.377743319675,-0.17898554419599513,394.581088,1.998665961011712,24.323228499127403,3.552713678800501e-15,9.219771900000005
5gs_22C,47.5,47.5,140,140,1,0.0,largest_nonoverlapping_contiguous_block,5.0,13.900000000000091,0.10000000000013642,1027.0,1040.9,47.48678115714286,77.61558629999999,0.005823608283060475,27.090955078534034,0.00203267304818882,0.004945396085714287,3.493951351320395e-05,0.23549505170068027,25.368749344664085,1.8170657799099992,33.758067585714294,43.83463865714286,78.47283422857141,0.03342589796951789,7456.263468192543,-0.15959712920910768,395.63168685714294,2.7951610810563157,27.09095507853403,3.552713678800501e-15,10.076571071428567
5gs_22C,49,49.0,130,130,1,0.0,largest_nonoverlapping_contiguous_block,5.0,12.900000000000091,0.10000000000013642,1067.0,1079.9,48.994987723076925,82.59045136923078,0.00569265588231014,28.82738267686938,0.001986965403947839,0.004965042876923078,2.9616220449631598e-05,0.2364306131868132,25.313144425252975,1.7641589812430778,33.856683184615385,44.4541278,80.22963262197803,0.04216890625682816,7706.747627642718,-0.14810317602233541,397.2034301538462,2.369297635970528,28.827382676869387,-7.105427357601002e-15,10.597444615384617
