state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean
25V,25.0,6,0.12307245163690476,0.027947921422877567,0.2776692708333333,1022.8333333333334
30V,30.0,6,0.07629278273809524,0.021440354997723,0.3030598958333333,1016.1666666666666
35V,35.0,6,0.05139973958333333,0.007964313722895612,0.3097330729166667,1020.8333333333334
40V,40.0,6,0.058558872767857144,0.006132300586228702,0.3826497395833333,1020.3333333333334
45V,45.0,6,0.11059105282738095,0.02579058426082186,0.4860026041666667,1016.3333333333334
50V,50.0,6,0.2662969680059524,0.00698892345767364,0.6857096354166666,1020.1666666666666
52.5V,52.5,6,0.30127418154761904,0.01770872875075922,0.72021484375,1020.1666666666666
55V,55.0,6,0.16226748511904762,0.022031313723591024,0.5706380208333334,1013.5
