state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean,thermal_rows,time_start_s,time_end_s,voltage_mean_v,power_mean_w,heat_flux_mean_w_cm2,inlet_subcooling_mean_c,pressure_drop_mean_kpa,htc_mean_w_m2k,quality_x7_mean,ae_hits,ae_hit_rate_hz,ae_abs_energy_rate,ae_amp_mean_db,ae_ch1_hit_rate_hz,ae_ch2_hit_rate_hz
25V,25.0,6,0.12307245163690476,0.027947921422877567,0.2776692708333333,1022.8333333333334,100,236.0,245.9,24.763830210000005,18.66506932,6.51485840139616,21.77593926026111,0.42461478789600166,3045.778955616947,-0.2708370944133498,70.0,7.0707070707070665,1922.509829090908,40.354285714285716,2.7272727272727257,4.343434343434341
30V,30.0,6,0.07629278273809524,0.021440354997723,0.3030598958333333,1016.1666666666666,71,339.0,766.0,30.013021746478874,29.81789105633802,10.407640857360573,21.878690111554594,0.40739257697323933,4089.1547893231905,-0.2596541376824926,498305.0,1166.9906323185012,132938.69713631616,40.34531361314857,600.7658079625293,566.2248243559719
35V,35.0,6,0.05139973958333333,0.007964313722895612,0.3097330729166667,1020.8333333333334,60,421.0,426.9,34.9375832,42.018409483333336,14.666111512507275,21.97705791308932,0.42107932363000106,5112.595244790632,-0.24694570165366855,1833.0,310.6779661016961,7866.219356101725,39.02242225859248,120.00000000000047,190.67796610169566
40V,40.0,6,0.058558872767857144,0.006132300586228702,0.3826497395833333,1020.3333333333334,70,489.0,495.9,39.950063400000005,54.857051314285705,19.147312849663425,22.03363445951952,0.40915631891999943,6042.678967580491,-0.23305692706570263,5999.0,869.4202898550753,23752.27794449283,39.21785297549592,344.4927536231895,524.9275362318858
45V,45.0,6,0.11059105282738095,0.02579058426082186,0.4860026041666667,1016.3333333333334,0,,,,,,,,,,,,,,,
50V,50.0,6,0.2662969680059524,0.00698892345767364,0.6857096354166666,1020.1666666666666,80,630.0,637.9,50.000701625,85.859213475,29.96831185863875,22.238677451274302,0.2785491549825011,7928.714393652376,-0.19818950493468607,14337.0,1814.8101265822836,138173.12521848144,40.228067238613384,966.5822784810155,848.2278481012683
52.5V,52.5,6,0.30127418154761904,0.01770872875075922,0.72021484375,1020.1666666666666,260,711.0,736.9,52.52097852692308,94.72979753461539,33.06450175728286,22.278365496051745,0.23383958447692313,8091.532210977304,-0.18786240054362924,41297.0,1594.478764478766,318599.3392523941,41.53696636559556,939.7297297297306,654.7490347490353
55V,55.0,6,0.16226748511904762,0.022031313723591024,0.5706380208333334,1013.5,50,762.0,767.9,55.02930928000001,103.79544947999999,36.22877817801047,21.993320250715534,0.4520068794199989,6234.724069685684,-0.1754822972285785,7538.0,1277.6271186440727,499702.8330125444,41.71211196603874,740.1694915254266,537.4576271186461
