state_label,state_voltage,frame_name,vapor_area_fraction,active_length_fraction,vapor_front_x_px
30_Onset,30.0,192.168.0.10_C001H001S0001000001.bmp,0.11714564732142857,0.23828125,1022.0
30_Onset,30.0,192.168.0.10_C001H001S0001000019.bmp,0.1240234375,0.2783203125,1023.0
30_Onset,30.0,192.168.0.10_C001H001S0001000038.bmp,0.13451450892857142,0.2744140625,1023.0
30_Onset,30.0,192.168.0.10_C001H001S0001000057.bmp,0.09454520089285715,0.2509765625,1011.0
30_Onset,30.0,192.168.0.10_C001H001S0001000076.bmp,0.13515625,0.3466796875,1023.0
30_Onset,30.0,192.168.0.10_C001H001S0001000095.bmp,0.11974051339285714,0.2666015625,1022.0
35,35.0,192.168.0.10_C001H001S0001000001.bmp,0.06256975446428571,0.17578125,1023.0
35,35.0,192.168.0.10_C001H001S0001000022.bmp,0.07215401785714286,0.21875,1022.0
35,35.0,192.168.0.10_C001H001S0001000044.bmp,0.14672154017857142,0.328125,1022.0
35,35.0,192.168.0.10_C001H001S0001000065.bmp,0.14633091517857144,0.3505859375,1023.0
35,35.0,192.168.0.10_C001H001S0001000087.bmp,0.09623325892857143,0.234375,1023.0
35,35.0,192.168.0.10_C001H001S0001000109.bmp,0.1518833705357143,0.3173828125,1022.0
40,40.0,192.168.0.10_C001H001S0001000001.bmp,0.1416015625,0.318359375,1023.0
40,40.0,192.168.0.10_C001H001S0001000019.bmp,0.12529296875,0.306640625,1022.0
40,40.0,192.168.0.10_C001H001S0001000037.bmp,0.1181640625,0.2978515625,1023.0
40,40.0,192.168.0.10_C001H001S0001000055.bmp,0.11674107142857143,0.2890625,1023.0
40,40.0,192.168.0.10_C001H001S0001000073.bmp,0.10461774553571429,0.275390625,1022.0
40,40.0,192.168.0.10_C001H001S0001000092.bmp,0.12321428571428572,0.29296875,1022.0
45,45.0,192.168.0.10_C001H001S0001000001.bmp,0.083203125,0.3076171875,1023.0
45,45.0,192.168.0.10_C001H001S0001000019.bmp,0.08459821428571429,0.2861328125,1023.0
45,45.0,192.168.0.10_C001H001S0001000038.bmp,0.08843470982142858,0.294921875,1023.0
45,45.0,192.168.0.10_C001H001S0001000057.bmp,0.08864397321428572,0.314453125,1022.0
45,45.0,192.168.0.10_C001H001S0001000076.bmp,0.05916573660714286,0.2451171875,1015.0
45,45.0,192.168.0.10_C001H001S0001000095.bmp,0.06256975446428571,0.255859375,1023.0
50,50.0,192.168.0.10_C001H001S0001000001.bmp,0.12650669642857143,0.443359375,1023.0
50,50.0,192.168.0.10_C001H001S0001000022.bmp,0.1451171875,0.484375,1022.0
50,50.0,192.168.0.10_C001H001S0001000044.bmp,0.12449776785714285,0.4521484375,1017.0
50,50.0,192.168.0.10_C001H001S0001000065.bmp,0.12672991071428572,0.490234375,1023.0
50,50.0,192.168.0.10_C001H001S0001000087.bmp,0.12907366071428572,0.4404296875,1023.0
50,50.0,192.168.0.10_C001H001S0001000109.bmp,0.14263392857142856,0.458984375,1023.0
55,55.0,192.168.0.10_C001H001S0001000001.bmp,0.17583705357142856,0.5703125,1019.0
55,55.0,192.168.0.10_C001H001S0001000021.bmp,0.1927734375,0.572265625,1023.0
55,55.0,192.168.0.10_C001H001S0001000042.bmp,0.20269252232142856,0.580078125,1023.0
55,55.0,192.168.0.10_C001H001S0001000062.bmp,0.15115792410714285,0.5009765625,1023.0
55,55.0,192.168.0.10_C001H001S0001000083.bmp,0.17036830357142857,0.51953125,1023.0
55,55.0,192.168.0.10_C001H001S0001000104.bmp,0.15701729910714285,0.490234375,1023.0
57.5,57.5,192.168.0.10_C001H001S0001000001.bmp,0.18643973214285714,0.619140625,1023.0
57.5,57.5,192.168.0.10_C001H001S0001000019.bmp,0.18727678571428572,0.5771484375,1023.0
57.5,57.5,192.168.0.10_C001H001S0001000038.bmp,0.21209542410714285,0.6103515625,1019.0
57.5,57.5,192.168.0.10_C001H001S0001000056.bmp,0.22403738839285714,0.595703125,1023.0
57.5,57.5,192.168.0.10_C001H001S0001000075.bmp,0.19594029017857142,0.61328125,1022.0
57.5,57.5,192.168.0.10_C001H001S0001000094.bmp,0.18263113839285713,0.5791015625,1023.0
59CHF,59.0,192.168.0.10_C001H001S0001000001.bmp,0.15249720982142856,0.5576171875,1023.0
59CHF,59.0,192.168.0.10_C001H001S0001000027.bmp,0.2052734375,0.59375,1018.0
59CHF,59.0,192.168.0.10_C001H001S0001000054.bmp,0.19330357142857144,0.578125,1018.0
59CHF,59.0,192.168.0.10_C001H001S0001000080.bmp,0.17919921875,0.515625,1021.0
59CHF,59.0,192.168.0.10_C001H001S0001000107.bmp,0.17523716517857144,0.5625,1020.0
59CHF,59.0,192.168.0.10_C001H001S0001000134.bmp,0.18510044642857143,0.583984375,1021.0
