state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean
30_Onset,30.0,6,0.12085425967261905,0.014888611992962012,0.27587890625,1020.6666666666666
35,35.0,6,0.11264880952380953,0.04062510603686777,0.2708333333333333,1022.5
40,40.0,6,0.12160528273809523,0.012166495728920484,0.2967122395833333,1022.5
45,45.0,6,0.07776925223214286,0.013306305001910946,0.2840169270833333,1021.5
50,50.0,6,0.13242652529761903,0.00902049528288831,0.4615885416666667,1021.8333333333334
55,55.0,6,0.17497442336309524,0.019983705026214237,0.5388997395833334,1022.3333333333334
57.5,57.5,6,0.19807012648809522,0.016526757080134968,0.59912109375,1022.1666666666666
59CHF,59.0,6,0.1817685081845238,0.0179036856325895,0.5652669270833334,1020.1666666666666
