state_label,state_voltage,image_frames,vapor_area_fraction_mean,vapor_area_fraction_std,active_length_fraction_mean,vapor_front_x_px_mean,thermal_rows,time_start_s,time_end_s,voltage_mean_v,power_mean_w,heat_flux_mean_w_cm2,inlet_subcooling_mean_c,pressure_drop_mean_kpa,htc_mean_w_m2k,quality_x7_mean,ae_hits,ae_hit_rate_hz,ae_abs_energy_rate,ae_amp_mean_db,ae_ch1_hit_rate_hz,ae_ch2_hit_rate_hz
30_Onset,30.0,6,0.12085425967261905,0.014888611992962012,0.27587890625,1020.6666666666666,220,79.0,102.9,29.933293163636367,31.051238459090904,10.838128607012536,18.9923808574599,0.8205515349672725,5250.547368593924,-0.24091762185801888,5957,249.24686192468613,10265.92663012552,39.37688433775391,97.23849372384934,152.00836820083677
35,35.0,6,0.11264880952380953,0.04062510603686777,0.2708333333333333,1022.5,160,211.0,226.9,34.938105612499996,42.199596093749996,14.729352912303668,19.118927468065458,0.6254153067525008,5806.746853591736,-0.23765659564109054,29064,1827.924528301886,280833.8216151571,41.35704651802917,974.4025157232701,853.522012578616
40,40.0,6,0.12160528273809523,0.012166495728920484,0.2967122395833333,1022.5,120,255.0,266.9,39.946604216666664,55.059000858333334,19.217801346713205,19.181010305886524,0.4726837399850005,6599.289953962284,-0.2326672811425867,15414,1295.2941176470613,513650.8992488245,42.95993252886986,714.369747899161,580.9243697479003
45,45.0,6,0.07776925223214286,0.013306305001910946,0.2840169270833333,1021.5,120,306.0,317.9,44.969047266666664,69.64265824166665,24.3080831559046,19.235518692087854,0.27714556642999805,7522.683623908856,-0.22680566318563253,13813,1160.7563025210106,580096.5302284885,43.308028668645484,680.0840336134466,480.67226890756393
50,50.0,6,0.13242652529761903,0.00902049528288831,0.4615885416666667,1021.8333333333334,150,386.0,400.9,49.99969821333333,85.9881808,30.01332663176266,19.27711632733724,0.1462302438759993,8440.64776893957,-0.21998007022737626,16573,1112.2818791946327,570253.6214797323,43.40126712122127,621.6107382550346,490.67114093959805
55,55.0,6,0.17497442336309524,0.019983705026214237,0.5388997395833334,1022.3333333333334,120,451.0,462.9,55.033587649999994,104.04684952499998,36.31652688481677,19.358425814828898,0.4091486198383322,8997.118171560436,-0.21277677020219984,10009,841.0924369747916,666533.4077175643,44.19760215805775,489.83193277311017,351.26050420168133
57.5,57.5,6,0.19807012648809522,0.016526757080134968,0.59912109375,1022.1666666666666,200,512.0,579.9,57.561146465,113.710438315,39.689507265270514,19.30832057420205,0.5967009151889998,8783.827184689404,-0.20765032096697142,26046,383.5935198821798,987299.7166928134,46.36617138908086,222.68041237113408,160.91310751104572
59CHF,59.0,6,0.1817685081845238,0.0179036856325895,0.5652669270833334,1020.1666666666666,98,593.0,602.7,59.07083399999999,119.63742394897962,41.758263158457105,19.13045530846321,0.33977574078571454,8125.415930198715,-0.20251210254843868,2399,247.3195876288648,1332164.95973453,47.86969570654439,143.40206185566944,103.9175257731954
