method,images,mean_union_mask_iou,mean_union_mask_dice,mean_absolute_area_fraction_error,mean_signed_area_fraction_error,training_images,calibration_images,holdout_images
Otsu morphology,26,0.20902210376872304,0.3308469972091814,0.18907162173763734,0.18907162173763734,0,0,26
Pixel Gaussian,26,0.3710892393621773,0.5287323601967361,0.032692844265109884,0.025764616243131866,77,27,26
Mask R-CNN,26,0.6519535929347987,0.7686273342456948,0.005084563873626328,0.002071171016483496,104,0,26
